08-06 20:03:09: Training starting...
08-06 20:03:10: New best reward -8.1 (-100.0%) at episode 0, saving model...
08-06 20:03:10: New best reward -7.5 (-7.4%) at episode 1, saving model...
08-06 20:03:10: New best reward -6.9 (-8.0%) at episode 4, saving model...
08-06 20:03:10: New best reward -5.1 (-26.1%) at episode 6, saving model...
08-06 20:03:10: New best reward -4.5 (-11.8%) at episode 16, saving model...
08-06 20:03:11: New best reward -3.9 (-13.3%) at episode 84, saving model...
08-06 20:03:13: New best reward -2.1 (-46.2%) at episode 330, saving model...
08-06 20:03:14: New best reward -0.9 (-57.1%) at episode 561, saving model...
08-06 20:03:24: New best reward -0.3 (-66.7%) at episode 1364, saving model...
08-06 20:03:53: New best reward 3.9 (-1400.0%) at episode 3176, saving model...
08-06 20:05:01: New best reward 4.2 (+7.7%) at episode 8107, saving model...
08-06 20:05:41: New best reward 6.0 (+42.9%) at episode 10555, saving model...
08-06 20:06:54: New best reward 6.8 (+13.3%) at episode 15288, saving model...
08-06 20:08:09: New best reward 8.4 (+23.5%) at episode 20241, saving model...
08-06 20:09:03: New best reward 8.6 (+2.4%) at episode 23813, saving model...
08-06 20:09:49: New best reward 9.3 (+8.1%) at episode 26959, saving model...
08-06 23:30:21: New best reward 11.3 (+21.5%) at episode 375064, saving model...
08-06 23:31:51: New best reward 12.9 (+14.2%) at episode 375720, saving model...
08-06 23:33:52: New best reward 13.8 (+7.0%) at episode 376423, saving model...
08-06 23:37:42: New best reward 14.0 (+1.4%) at episode 377931, saving model...
08-06 23:38:02: New best reward 15.4 (+10.0%) at episode 378094, saving model...
08-06 23:45:22: New best reward 22.4 (+45.5%) at episode 380672, saving model...
08-06 23:53:53: New best reward 26.9 (+20.1%) at episode 382995, saving model...
08-07 00:04:34: New best reward 36.4 (+35.3%) at episode 386008, saving model...
08-07 00:24:32: New best reward 41.3 (+13.5%) at episode 390158, saving model...
08-07 00:59:12: New best reward 50.4 (+22.0%) at episode 423440, saving model...
08-07 01:27:27: New best reward 52.9 (+5.0%) at episode 436580, saving model...
08-07 02:25:34: New best reward 53.0 (+0.2%) at episode 457521, saving model...
08-07 02:38:14: New best reward 53.3 (+0.6%) at episode 462746, saving model...
08-07 02:42:54: New best reward 65.6 (+23.1%) at episode 464371, saving model...
08-07 03:34:04: New best reward 69.3 (+5.6%) at episode 486722, saving model...
08-08 03:34:32: New best reward 71.1 (+2.6%) at episode 729638, saving model...
08-08 03:37:02: New best reward 102.8 (+44.6%) at episode 731535, saving model...
